Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,AvgMonthlySpend,NumServices,StreamingBundleCount,PhoneBundleCount,HasInternet,Is_Electronic_Check,Churn Value
No,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.15,319.85,79.9625,3,0,2,1,1,0
No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,79.9,79.9,79.9,2,1,1,1,1,1
No,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.25,1641.8,23.794202898550726,2,0,2,0,0,0
No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.65,92.05,18.41,1,0,1,0,0,0
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.3,20.3,20.3,1,0,1,0,0,0
No,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,One year,No,Credit card (automatic),45.0,2196.3,45.75625,3,1,0,1,0,0
No,No,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.65,483.3,80.55,6,2,1,1,0,0
Yes,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Electronic check,105.05,7171.7,107.04029850746268,6,2,1,1,1,0
No,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,810.3,19.76341463414634,1,0,1,0,0,0
Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.5,2196.15,87.846,4,1,2,1,1,1
Yes,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),99.65,7181.25,101.1443661971831,6,1,2,1,0,0
No,No,No,20,Yes,Yes,DSL,No,Yes,No,Yes,One year,Yes,Electronic check,68.7,1416.2,70.81,5,1,2,1,1,0
No,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,No,Credit card (automatic),105.1,6631.85,102.02846153846154,6,2,2,1,0,0
No,No,No,26,Yes,No,DSL,No,No,No,Yes,One year,No,Credit card (automatic),59.45,1507.0,57.96153846153846,3,1,1,1,0,0
No,No,No,19,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.55,1093.2,57.53684210526316,3,1,1,1,0,0
No,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,394.85,26.323333333333334,2,0,2,0,1,0
No,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,85.45,2289.9,81.78214285714286,3,1,1,1,1,0
No,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,63.85,4264.6,64.61515151515152,4,1,2,1,1,0
No,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.2,3198.6,74.38604651162791,2,0,1,1,1,1
No,Yes,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.6,514.75,22.380434782608695,2,0,2,0,0,0
No,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,26.385714285714286,2,0,2,0,1,0
No,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.3,1261.7,22.530357142857145,2,0,2,0,1,0
No,No,No,9,No,No phone service,DSL,Yes,No,Yes,Yes,One year,No,Mailed check,50.8,463.6,51.51111111111111,4,1,0,1,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,45.3,45.3,45.3,1,0,1,1,1,1
No,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.05,2866.45,95.54833333333333,4,2,2,1,0,1
No,No,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),105.2,7386.05,107.04420289855072,6,2,2,1,0,0
No,Yes,Yes,71,Yes,No,Fiber optic,No,No,Yes,No,Two year,No,Electronic check,76.05,5436.45,76.56971830985916,2,0,1,1,1,0
Yes,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,85.0,3969.4,86.29130434782608,3,1,1,1,1,1
No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,No,Bank transfer (automatic),84.45,5848.6,84.76231884057971,4,0,2,1,0,0
No,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,94.15,4408.45,95.8358695652174,5,1,2,1,1,0
No,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.9,3233.6,85.09473684210526,4,0,1,1,0,1
No,No,No,38,Yes,No,Fiber optic,No,No,No,No,One year,Yes,Bank transfer (automatic),70.45,2597.6,68.3578947368421,1,0,1,1,0,1
No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.15,6411.25,106.85416666666667,6,2,2,1,1,0
No,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,82.64140625,4,0,2,1,0,0
No,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.15,5536.5,79.09285714285714,7,1,2,1,0,0
No,No,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,105.45,2715.3,104.4346153846154,6,2,1,1,1,0
Yes,Yes,No,56,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.65,4824.45,86.15089285714285,7,2,1,1,0,0
No,No,Yes,27,Yes,No,DSL,Yes,Yes,No,No,One year,No,Mailed check,56.2,1567.55,58.0574074074074,3,0,1,1,0,0
No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.25,61.45,20.483333333333334,1,0,1,0,1,0
No,No,No,5,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,50.6,249.95,49.989999999999995,2,0,2,1,0,1
No,Yes,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,56.4,3948.45,58.065441176470586,5,1,0,1,0,0
No,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.2,702.9,19.525,1,0,1,0,0,0
No,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,849.9,20.235714285714284,1,0,1,0,0,0
Yes,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,No,Electronic check,102.1,6688.1,104.5015625,6,2,2,1,1,0
No,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,74.6,74.6,2,0,2,1,0,1
Yes,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,107.45,7047.5,108.42307692307692,6,2,2,1,1,0
No,No,No,26,Yes,No,DSL,No,Yes,Yes,No,One year,Yes,Mailed check,56.05,1553.2,59.73846153846154,3,0,1,1,0,0
No,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.55,294.5,21.035714285714285,1,0,1,0,0,0
Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.2,79.2,79.2,2,1,1,1,1,1
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Credit card (automatic),46.2,46.2,46.2,1,0,1,1,0,1
No,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0,1505.05,25.084166666666665,2,0,2,0,0,0
No,No,No,1,Yes,Yes,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,60.1,60.1,60.1,4,0,2,1,0,1
Yes,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,One year,No,Bank transfer (automatic),64.05,3902.6,63.97704918032787,4,1,2,1,0,0
No,No,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.45,82.7,41.35,1,0,1,1,1,0
No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.4,556.35,92.72500000000001,3,1,1,1,1,1
No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.8,1476.25,23.81048387096774,2,0,2,0,0,0
No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.95,257.0,19.76923076923077,1,0,1,0,0,0
No,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.8,3886.45,107.95694444444445,6,2,2,1,0,0
Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,70.05,70.05,1,0,1,1,1,0
No,No,No,4,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,86.6,21.65,0,0,0,1,1,1
Yes,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Credit card (automatic),107.05,7142.5,106.6044776119403,6,2,2,1,0,0
No,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.2,5956.85,83.8992957746479,7,2,2,1,0,0
No,No,No,44,No,No phone service,DSL,No,No,Yes,No,One year,Yes,Electronic check,49.05,2265.0,51.47727272727273,3,2,0,1,1,0
No,Yes,No,29,Yes,No,DSL,No,No,Yes,Yes,Two year,No,Mailed check,75.55,2054.4,70.84137931034483,5,2,1,1,0,0
No,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,2698.35,93.04655172413793,4,1,2,1,1,1
No,No,No,13,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),45.55,597.0,45.92307692307692,3,1,0,1,0,1
No,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.6,678.8,19.96470588235294,1,0,1,0,0,0
No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,78.5,242.05,80.68333333333334,2,1,1,1,1,1
No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,94.75,5597.65,94.87542372881356,5,1,2,1,1,0
No,No,No,14,No,No phone service,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,771.95,55.13928571428572,4,2,0,1,1,0
No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,70.0,70.0,1,0,1,1,1,1
No,No,No,15,No,No phone service,DSL,No,Yes,No,No,Two year,Yes,Mailed check,38.8,603.0,40.2,2,1,0,1,0,0
No,No,Yes,17,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.3,846.8,49.811764705882354,2,0,1,1,0,0
Yes,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.05,4370.75,91.05729166666667,4,1,2,1,0,0
No,Yes,Yes,59,No,No phone service,DSL,Yes,No,Yes,No,One year,No,Mailed check,34.8,1980.3,33.56440677966101,2,0,0,1,0,0
No,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),74.5,4674.55,74.19920634920635,6,1,1,1,0,0
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,20.0,20.0,1,0,1,0,0,0
No,Yes,No,53,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),74.1,3833.95,72.33867924528302,6,1,2,1,0,0
No,Yes,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),66.1,4428.45,67.09772727272727,5,0,2,1,0,0
No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,One year,No,Mailed check,74.05,872.65,72.72083333333333,5,2,2,1,0,1
No,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,119.3,19.883333333333333,1,0,1,0,0,0
No,No,No,14,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.0,914.0,65.28571428571429,1,0,1,1,0,1
No,No,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,44.65,74.9,37.45,1,0,1,1,0,1
No,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.6,7690.9,108.3225352112676,7,2,2,1,0,1
No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,79.25,79.25,79.25,2,1,1,1,1,1
No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,267.0,22.25,1,0,1,0,0,0
No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.05,7806.6,108.42500000000001,7,2,2,1,0,0
No,No,No,37,No,No phone service,DSL,No,No,No,Yes,Month-to-month,No,Credit card (automatic),28.6,973.55,26.31216216216216,1,0,0,1,0,1
Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.05,746.5,82.94444444444444,3,1,2,1,1,1
No,Yes,Yes,18,No,No phone service,DSL,No,Yes,Yes,No,One year,No,Credit card (automatic),46.4,812.4,45.13333333333333,3,1,0,1,0,0
No,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.45,1058.6,81.43076923076923,4,0,2,1,1,1
No,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Bank transfer (automatic),99.7,4634.35,102.98555555555556,5,2,2,1,0,0
No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.65,144.15,72.075,2,1,1,1,1,1
No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.5,6985.65,107.47153846153846,6,2,2,1,1,1
No,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,24.05,24.05,2,0,2,0,0,1
No,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,90.31,4,1,1,1,0,1
No,No,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,90.15,987.95,89.81363636363636,4,1,2,1,1,1
No,No,No,26,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),54.75,1406.9,54.111538461538466,3,0,1,1,0,0
No,No,No,35,No,No phone service,DSL,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,33.45,1175.85,33.59571428571428,2,0,0,1,0,0
No,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.15,2265.25,78.11206896551724,3,0,2,1,0,1
No,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,No,Mailed check,94.8,3131.55,97.8609375,5,1,1,1,0,0
Yes,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,96.5,3436.1,95.44722222222222,5,2,2,1,1,1
No,Yes,Yes,17,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.35,920.5,54.14705882352941,3,0,1,1,0,0
No,No,No,6,Yes,No,DSL,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.7,335.65,55.94166666666666,3,0,1,1,0,0
No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,260.9,21.741666666666664,1,0,1,0,0,0
No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,One year,No,Electronic check,84.05,2781.85,86.9328125,3,1,2,1,1,1
No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,6457.15,90.94577464788732,8,2,2,1,0,0
No,No,No,2,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.75,146.9,73.45,4,2,1,1,1,1
No,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,55.327777777777776,3,0,2,1,0,0
Yes,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.95,6143.15,89.03115942028985,4,1,2,1,1,1
Yes,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.0,5438.95,95.42017543859649,5,1,2,1,0,0
No,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.85,467.5,24.605263157894736,1,0,1,0,0,0
No,Yes,No,33,Yes,No,DSL,No,Yes,No,Yes,One year,Yes,Credit card (automatic),53.75,1857.3,56.28181818181818,3,0,1,1,0,0
No,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,350.1,16.67142857142857,1,0,1,0,0,0
No,No,No,25,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.0,1902.0,76.08,6,2,1,1,0,0
No,No,No,7,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,66.85,458.1,65.44285714285715,3,2,1,1,1,0
No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,82.85,460.25,76.70833333333333,3,1,2,1,1,1
No,No,No,63,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.9,4479.2,71.0984126984127,6,1,2,1,0,0
No,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.8,1013.2,20.264,1,0,1,0,1,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,55.45,55.45,55.45,2,1,1,1,1,0
No,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,Yes,Electronic check,93.15,6368.2,95.04776119402985,5,1,2,1,1,0
No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1326.35,18.680985915492958,1,0,1,0,0,0
No,Yes,No,63,Yes,No,DSL,Yes,Yes,No,Yes,One year,No,Credit card (automatic),70.8,4448.8,70.61587301587302,5,1,1,1,0,0
No,Yes,Yes,66,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),103.15,7031.3,106.53484848484848,6,2,1,1,0,0
No,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),94.75,5121.75,94.84722222222223,5,1,2,1,0,0
No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),91.85,5940.85,91.39769230769231,4,1,2,1,0,1
No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,74.35,2,0,1,1,1,1
No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,90.67999999999999,4,2,1,1,1,1
No,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,100.85069444444444,6,1,2,1,0,0
Yes,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,No,One year,No,Electronic check,69.2,4982.5,70.17605633802818,5,1,2,1,1,0
No,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.1,780.1,19.5025,1,0,1,0,0,0
No,Yes,Yes,1,No,No phone service,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,40.1,40.1,40.1,2,1,0,1,1,1
No,Yes,No,42,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,50.25,2203.65,52.46785714285714,2,0,2,1,1,1
No,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,One year,Yes,Electronic check,90.35,767.9,85.32222222222222,4,1,2,1,1,0
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.35,20.35,20.35,1,0,1,0,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,54.65,54.65,54.65,2,1,1,1,1,0
Yes,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.75,5510.65,98.40446428571428,6,2,2,1,0,1
Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.65,8022.85,111.42847222222223,7,2,2,1,0,0
Yes,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.05,4385.05,97.44555555555556,6,1,2,1,1,0
No,No,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,One year,No,Credit card (automatic),62.05,2511.55,62.78875000000001,5,2,0,1,0,0
Yes,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,94.55,3365.4,96.15428571428572,5,1,2,1,1,0
No,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.25,1734.5,86.725,3,1,2,1,1,1
No,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.55,958.25,79.85416666666667,3,0,2,1,0,0
No,No,No,18,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,71.1,1247.75,69.31944444444444,1,0,1,1,1,0
No,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,One year,No,Electronic check,80.05,3019.1,81.59729729729729,3,0,1,1,1,0
No,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Credit card (automatic),101.15,6067.4,101.12333333333332,5,2,2,1,0,0
Yes,Yes,No,59,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,50.25,2997.45,50.80423728813559,3,2,0,1,1,0
No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.4,4914.9,98.29799999999999,5,1,2,1,0,0
No,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1357.1,20.562121212121212,1,0,1,0,0,0
No,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,90.6,1020.2,92.74545454545455,3,2,1,1,1,0
Yes,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,4040.2,91.82272727272726,4,1,2,1,1,0
No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,90.55,5,1,2,1,1,1
Yes,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,110.85,7491.75,113.51136363636364,7,2,2,1,1,1
No,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.65,2766.4,86.45,4,0,2,1,0,0
No,No,No,11,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.5,791.75,71.97727272727273,2,0,1,1,1,1
No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,36.8,18.4,1,0,1,0,0,0
Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,131.65,65.825,1,0,1,1,1,1
No,No,No,3,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,37.983333333333334,1,1,0,1,0,0
No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.15,20.15,20.15,1,0,1,0,0,1
No,No,No,20,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,51.1925,2,0,1,1,0,0
No,No,Yes,1,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,49.9,49.9,49.9,2,0,1,1,0,1
No,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.35,1302.65,86.84333333333333,4,0,2,1,0,0
No,No,No,18,No,No phone service,DSL,Yes,Yes,No,Yes,One year,Yes,Mailed check,40.2,711.95,39.55277777777778,3,0,0,1,0,0
No,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,Yes,Credit card (automatic),89.1,5411.65,87.28467741935484,4,1,2,1,0,0
No,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,85.45,2509.95,83.66499999999999,3,1,2,1,1,0
No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,62.888888888888886,6,2,0,1,0,0
No,Yes,No,22,Yes,No,DSL,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),67.5,1544.05,70.18409090909091,5,1,1,1,0,1
No,Yes,No,25,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,54.1,1373.0,54.92,3,0,2,1,1,0
No,No,No,15,Yes,Yes,DSL,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),58.6,939.7,62.64666666666667,4,0,2,1,0,1
No,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,90.7,1374.9,85.93125,5,0,2,1,1,0
No,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.95,613.95,19.1859375,1,0,1,0,0,0
No,No,No,3,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,54.2,140.4,46.800000000000004,2,1,1,1,1,0
No,No,No,28,Yes,No,DSL,Yes,No,No,Yes,One year,No,Mailed check,54.3,1546.3,55.225,3,0,1,1,0,0
No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,74.70714285714287,3,0,2,1,0,0
Yes,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.8,4913.3,96.33921568627451,5,2,2,1,1,1
No,Yes,No,71,Yes,No,DSL,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),81.85,5924.4,83.44225352112676,6,2,1,1,0,0
No,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,27.54090909090909,2,0,2,0,0,0
